Species	Treatment	OTU 	LAP	NAG	PHOS	ABTS	TMB
Russula nitida_1	Fertilized	39	3.193781906	10.28054562	32.83082666	64.36848266	411.684884
Russula nitida_1	Fertilized	39	5.862202114	24.10758987	120.9811898	30.57196798	556.0693063
Russula nitida_1	Fertilized	39	2.930157311	13.87934742	64.21779257	0	424.6129426
Russula nitida_1	Fertilized	39	3.100188256	12.48173738	65.75048084	0.60635201	304.0344495
Russula nitida_1	Fertilized	39	3.071280797	16.35188334	69.0693808	11.23177929	151.7270463
Russula nitida_1	Fertilized	39	1.767871488	8.656052649	46.57826911	28.29791329	139.149625
Russula nitida_1	Fertilized	39	NA	7.252444895	78.74819872	26.35156339	203.8479256
Russula nitida_1	Fertilized	39	NA	9.588711998	86.26085136	14.61397689	243.6058379
Russula nitida_1	Fertilized	39	NA	10.70850746	77.05535295	28.68037424	243.4092128
Russula nitida_1	Fertilized	39	NA	8.994090251	89.6870897	9.593772489	207.8650706
Russula nitida_1	Fertilized	39	2.776798602	23.87496286	134.2467715	18.91832945	345.5421905
Russula nitida_1	Fertilized	39	1.581742859	18.23731547	95.85180519	9.296496999	512.8164345
Russula nitida_1	Fertilized	39	1.594144598	12.65782263	80.90654609	1.076113573	440.7148992
Russula nitida_1	Fertilized	39	1.794509592	9.621618717	122.9192567	33.3116409	0
Russula nitida_1	Fertilized	39	1.911833725	13.69225477	118.7169755	1.352539457	392.7440542
Russula nitida_1	Fertilized	39	1.997421777	12.86477297	114.570151	0	278.3165143
Russula nitida_1	Fertilized	39	1.922116061	20.72296873	100.7956715	42.15154723	489.701555
Russula nitida_1	Fertilized	39	2.436891856	18.29801799	130.9232167	0.989011065	315.2023764
Russula nitida_1	Fertilized	39	2.15111606	13.51030758	100.0747334	4.104134278	206.7494106
Russula nitida_1	Fertilized	39	2.216230942	15.51083927	94.81497686	4.000733673	211.27677
Russula nitida_1	Fertilized	39	2.566587194	18.5422544	131.2254667	9.543751021	318.2965961
Russula nitida_1	Fertilized	39	1.941742023	16.99632855	105.2056241	22.41944319	307.0151022
Russula nitida_1	Fertilized	39	0.763245572	4.599760074	77.04585059	16.9206012	147.0729121
Russula nitida_1	Fertilized	39	1.265814813	5.94603706	68.74847245	35.63592407	175.944081
Russula nitida_1	Fertilized	39	1.854413819	9.33408325	106.4089144	22.69692872	194.0726136
Russula nitida_1	Fertilized	39	1.187294903	6.215303225	75.02395846	16.50526382	109.8818956
Russula nitida_1	Fertilized	39	0.933314055	5.611352487	70.27524969	33.3733623	155.4856567
Russula nitida_1	Fertilized	39	1.180288617	8.370125942	82.8146261	12.54566392	137.5203941
Russula nitida_1	Fertilized	39	1.674683534	9.896087156	83.97555185	40.37670565	312.0971439
Russula nitida_1	Fertilized	39	1.386102439	7.438939665	69.34825013	13.29423419	159.0084637
Russula nitida_1	Fertilized	39	0.963714242	6.695599774	66.59189159	11.00329768	122.2164004
Russula nitida_1	Fertilized	39	1.139219045	8.215692757	98.50895978	23.29892274	184.4604407
Russula nitida_1	Fertilized	39	1.250427805	6.346348343	87.94345473	65.87773012	167.8005774
Russula nitida_1	Fertilized	39	0.629563017	3.301101379	55.37361969	9.778455039	131.0699694
Russula nitida_1	Fertilized	39	3.550249207	13.74754762	63.14148037	7.014619763	232.5139194
Russula nitida_1	Fertilized	39	2.518617867	9.665789412	37.44840128	0.579395727	125.1494769
Russula nitida_1	Fertilized	39	2.874742888	16.21619007	72.1841259	0	728.3974939
Russula nitida_1	Fertilized	39	1.028566067	7.354609932	61.78936977	40.91790532	192.4759157
Russula nitida_1	Fertilized	39	1.191965496	10.95659841	66.24783877	1.548755254	457.4438243
Russula nitida_1	Fertilized	39	1.386901596	9.409405264	80.97832407	23.16211245	304.76649
Russula nitida_1	Fertilized	39	1.761163643	11.87916116	88.22626943	0.880168788	368.6331496
Russula nitida_1	Fertilized	39	1.433800242	28.13609286	32.76764087	294.4261711	633.6781961
Russula nitida_1	Fertilized	39	3.209584031	30.22840308	117.0195658	0	484.4240675
Russula nitida_1	Fertilized	39	5.794674196	29.77184334	76.67761242	243.7671897	691.9707473
Russula nitida_1	Fertilized	39	2.055551124	44.92393095	130.6974583	0	801.2204023
Russula nitida_1	Fertilized	39	1.348893291	4.5147848	58.78171851	1.188982294	542.527331
Russula nitida_1	Fertilized	39	0.872305011	4.316283464	56.27106616	1.057275922	678.7341823
Russula decolorans	Fertilized	40	3.576478198	11.36286997	129.9739923	5.187071103	363.3721052
Cenococcum geophilum	Warmed	4	0.341894306	7.185908361	9.207911237	1.507917946	362.7481422
Cenococcum geophilum	Warmed	4	0.741965106	13.73887447	20.51823037	48.72245273	483.7936209
Cenococcum geophilum	Warmed	4	0.272259391	8.823489622	8.327025788	12.74403652	185.5641681
Cenococcum geophilum	Warmed	4	0.483544856	6.09549027	9.909133008	30.98507831	224.7627219
Cenococcum geophilum	Warmed	4	0.107997013	11.72995311	9.15758926	161.0274012	534.4309537
Cenococcum geophilum	Warmed	4	0.207926509	13.92960285	16.30535676	162.274065	717.1945942
Cenococcum geophilum	Warmed	4	0.658975855	20.1376296	20.47359033	69.0436693	555.1567133
Cortinarius croceus_1	Warmed	7	2.67544332	21.81659266	58.12408218	44.93277926	294.2455449
Cortinarius paragaudis	Warmed	14	3.92546595	7.281586412	102.700942	0	487.9858445
Cortinarius paragaudis	Warmed	14	4.676698004	12.04480635	240.426407	15.30612363	1523.993189
Cortinarius paragaudis	Warmed	14	1.85041205	5.519458861	187.7717608	34.95875972	1278.933947
Lactarius vietus_1	Warmed	19	4.827288334	17.01146597	122.2229143	257.4211701	660.1738662
Lactarius vietus_1	Warmed	19	4.578727293	19.57796748	90.7302825	245.5978156	324.7612423
Lactarius vietus_1	Warmed	19	2.81829334	12.81735035	73.88213366	215.3862292	288.9168467
Lactarius vietus_1	Warmed	19	7.521969412	43.17597968	103.9493793	540.3053914	1221.452705
Lactarius glyciosmus	Warmed	20	5.484373555	31.84011986	56.54548042	213.0738764	645.8494722
Lactarius glyciosmus	Warmed	20	1.059064827	33.82875834	76.91397468	46.25240475	2795.662196
Lactarius glyciosmus	Warmed	20	3.249491872	30.2252684	43.37817085	354.203038	569.2966107
Lactarius glyciosmus	Warmed	20	NA	16.36481965	26.73029085	203.8939318	531.2698242
Lactarius glyciosmus	Warmed	20	NA	12.06297768	19.57652725	24.66746889	434.8880226
Lactarius glyciosmus	Warmed	20	1.165687978	19.16563234	27.16809201	274.1348925	464.891077
Leccinum scabrum	Warmed	23	5.356619615	2.659931447	84.84388142	330.1603753	678.8506725
Leptodontidium elatius	Warmed	27	NA	28.46933053	26.28899572	121.7692171	612.7195418
Leptodontidium elatius	Warmed	27	2.231166287	34.32078855	27.56711601	235.2359875	635.4635565
Meliniomyces variabilis	Warmed	28	17.68372025	55.58296242	32.46518123	0	141.143719
Meliniomyces bicolor	Warmed	29	0.772641175	3.410899449	9.778425962	1.316703466	175.6596489
Meliniomyces bicolor	Warmed	29	NA	0.919435635	8.26440392	4.385728139	252.1069235
Rhizoscyphus ericae	Warmed	32	2.824206612	22.26377538	34.47464996	210.2231892	628.0122599
Tomentella sp.	Warmed	35	8.042561713	30.19938802	102.276052	0	230.6564432
Tomentella sp.	Warmed	35	10.6302078	31.90220862	124.171002	6.571429078	340.644267
Tomentellopsis submollis	Warmed	36	0.481364879	25.83653055	48.84765794	441.5924951	1661.073294
Tomentellopsis submollis	Warmed	36	8.672102003	20.08699236	60.29513985	0	218.9786625
Tomentellopsis submollis	Warmed	36	0.214893186	54.27063151	112.4690696	2.414324406	297.2138877
Russula chamiteae	Warmed	37	1.664132275	30.87929695	83.02439277	861.3391475	785.774116
Russula chamiteae	Warmed	37	0.706254701	18.19144195	64.20891699	1090.875806	2410.128045
Russula chamiteae	Warmed	37	2.071941309	27.04184935	87.59983702	1042.676841	2454.125032
Russula chamiteae	Warmed	37	NA	1.403601771	12.95226981	133.1553449	1085.778733
Russula chamiteae	Warmed	37	0.528784348	25.12317548	48.63016308	504.6182035	1718.353788
Russula chamiteae	Warmed	37	0.684733903	31.84215618	56.06707042	48.44553108	2027.540344
Russula chamiteae	Warmed	37	0.501947341	14.70429465	45.64131681	604.2936549	1783.588335
Russula chamiteae	Warmed	37	0.778252964	32.76083037	66.68949785	546.6700356	1491.421721
Russula chamiteae	Warmed	37	0.654772841	38.1711804	60.91654769	851.0337161	1368.060024
Russula vinosa_1	Warmed	38	0.933885717	24.599963	52.55684111	1478.789188	2624.653867
Russula vinosa_1	Warmed	38	0.925230264	30.95521175	74.66348983	1638.247211	2730.847097
Russula vinosa_1	Warmed	38	0.920623674	31.70179683	62.69474144	1533.911552	1554.87235
Russula vinosa_1	Warmed	38	0.57258595	24.23724016	62.22275485	456.664386	1491.989212
Russula vinosa_1	Warmed	38	1.468941376	28.91311331	86.71359248	1942.958592	2176.554242
Russula vinosa_1	Warmed	38	2.711661507	40.57662143	108.4332046	1330.636012	1312.25325
Russula vinosa_1	Warmed	38	1.939859945	26.34334903	79.88686037	759.6582127	1042.761518
Russula vinosa_1	Warmed	38	2.477520479	39.19567421	123.7099192	2528.594355	4541.103126
Russula vinosa_1	Warmed	38	0.921615253	24.75176812	60.93728541	738.9014472	2244.675643
Russula vinosa_1	Warmed	38	0.61218243	24.90237604	48.7492991	936.3794071	2555.967988
Russula vinosa_1	Warmed	38	0.583794939	15.36937785	44.22726517	568.0443986	1779.58126
Russula vinosa_1	Warmed	38	0.716776413	13.71407359	59.05493659	627.7552437	668.9030889
Russula vinosa_1	Warmed	38	2.037141049	27.21117157	96.80023798	2598.437391	1872.143155
Russula vinosa_1	Warmed	38	0.974508225	20.93910137	92.96467892	936.064597	889.4806091
Russula vinosa_1	Warmed	38	0.8093715	28.05435317	113.95131	708.9267586	2190.523195
Russula vinosa_1	Warmed	38	29.2603673	20.11917867	85.38319607	171.3330541	446.4140484
Russula vinosa_1	Warmed	38	0.35038864	13.89142899	105.5879729	1436.895782	1978.348104
Russula vinosa_1	Warmed	38	5.55295607	38.0314146	97.73512798	378.6857352	680.9961872
Russula vinosa_1	Warmed	38	1.028562258	27.41766777	42.9376041	241.5642668	1032.42901
Russula vinosa_1	Warmed	38	0.516235845	23.8965071	53.4761687	270.2576901	1061.999598
Russula vinosa_1	Warmed	38	1.188003041	32.56336515	78.27580667	715.9603208	1761.494335
Russula vinosa_1	Warmed	38	0.929774134	24.42116498	62.8425118	499.9684862	1463.643745
Russula vinosa_1	Warmed	38	0.447690723	23.4744302	47.88593078	424.3280371	1098.377173
Russula vinosa_1	Warmed	38	0.7961741	25.89809564	58.48225658	444.4960036	1382.82672
Russula vinosa_1	Warmed	38	0.572447164	34.21245433	54.97924127	498.2984265	1871.408975
Russula vinosa_1	Warmed	38	1.233684207	43.02006646	79.68516272	576.0576173	1924.193311
Russula vinosa_1	Warmed	38	0.575809236	38.47856262	73.42758967	375.8605758	1537.802311
Russula vinosa_1	Warmed	38	0.750601144	33.23077317	81.25371542	483.6430083	1495.927668
Russula vinosa_1	Warmed	38	1.15957511	53.26384106	77.43111707	198.54273	1395.314751
Russula vinosa_1	Warmed	38	3.952127818	29.88157913	39.16851723	529.254368	1422.354668
Russula vinosa_1	Warmed	38	0.515937829	37.4711288	49.23626789	635.4532593	1357.515559
Russula vinosa_1	Warmed	38	0.485149407	33.32183164	51.07364567	303.8797003	782.1357506
Russula vinosa_1	Warmed	38	0.513421306	32.50011003	66.41554084	345.605138	1009.45413
Russula vinosa_1	Warmed	38	0.968722515	50.63741668	76.00743896	682.5442895	1724.867036
